date,interest_rate_multi_family_estate,interest_rate_commercial_estate,interest_owner_occupied_estate
1987-10-01,55850.0,103761.0,64193.0
2015-04-01,207315.0,245777.0,171055.0
2009-01-01,136948.0,207205.0,139250.0
1986-04-01,53530.0,95917.0,56083.0
2023-01-01,356921.0,346423.0,299299.0
2016-01-01,219202.0,238293.0,178153.0
1992-04-01,56510.0,93214.0,75049.0
1997-07-01,74886.0,108898.0,85054.0
2019-10-01,284919.0,291591.0,214979.0
1993-10-01,58220.0,86351.0,76979.0
2004-04-01,131950.0,168688.0,153957.0
2006-10-01,178475.0,229484.0,190837.0
1997-10-01,77745.0,118536.0,86330.0
2012-10-01,165141.0,187814.0,144856.0
1994-07-01,61330.0,89332.0,78040.0
1998-01-01,80103.0,120662.0,88049.0
1994-10-01,62620.0,90361.0,78380.0
2005-07-01,161590.0,197588.0,185023.0
2018-10-01,263331.0,271546.0,205788.0
2008-01-01,164492.0,229210.0,165749.0
2011-01-01,142179.0,178304.0,133150.0
2023-04-01,342957.0,353627.0,302660.0
1996-07-01,68118.0,91838.0,81989.0
2022-07-01,410726.0,350093.0,295470.0
1995-07-01,65540.0,91234.0,79874.0
2017-01-01,232306.0,252271.0,188019.0
2006-04-01,165742.0,219248.0,192317.0
2009-10-01,120460.0,153756.0,140468.0
2007-01-01,178186.0,236184.0,188981.0
2000-04-01,95886.0,133788.0,104885.0
2001-07-01,105651.0,145891.0,116362.0
1997-01-01,70680.0,104941.0,83176.0
2021-07-01,363664.0,339490.0,265655.0
2005-10-01,167939.0,204123.0,190141.0
1995-01-01,63340.0,90609.0,78652.0
1990-10-01,60660.0,106574.0,75496.0
2000-07-01,98189.0,142495.0,107160.0
1988-04-01,56680.0,106102.0,66834.0
1995-10-01,66710.0,92103.0,80272.0
1999-04-01,86100.0,123673.0,95818.0
1993-04-01,57470.0,86514.0,75749.0
1987-04-01,55180.0,102637.0,61576.0
2012-04-01,154076.0,181793.0,139048.0
2003-10-01,124977.0,151184.0,143229.0
2008-10-01,147785.0,220858.0,143403.0
2010-01-01,121128.0,159108.0,139169.0
1989-10-01,59250.0,109380.0,74929.0
2010-07-01,136422.0,169700.0,136648.0
2002-07-01,113027.0,143316.0,126732.0
2003-07-01,124022.0,149049.0,138677.0
2018-07-01,261028.0,274743.0,204024.0
2006-07-01,170071.0,224773.0,190844.0
2021-01-01,319086.0,307812.0,242906.0
2015-07-01,210809.0,245487.0,173485.0
2019-07-01,279415.0,293906.0,211836.0
2017-10-01,247708.0,270729.0,196683.0
2007-07-01,170890.0,251320.0,178203.0
2009-07-01,122465.0,165212.0,139662.0
2011-07-01,150617.0,172226.0,134446.0
2002-04-01,112070.0,140720.0,123577.0
2004-01-01,126959.0,160680.0,148096.0
1985-10-01,52810.0,92263.0,53940.0
1989-04-01,59170.0,108583.0,73023.0
1992-10-01,56150.0,88264.0,75160.0
1998-04-01,81136.0,125505.0,89233.0
1988-10-01,57490.0,106630.0,70429.0
1995-04-01,64200.0,90517.0,79150.0
2009-04-01,127422.0,170197.0,139297.0
2013-04-01,170884.0,200473.0,152355.0
2010-04-01,127346.0,171322.0,139719.0
2016-04-01,224028.0,247523.0,180167.0
2014-04-01,177660.0,218848.0,162306.0
2015-10-01,214186.0,243500.0,176031.0
2000-01-01,95245.0,125057.0,102258.0
1998-07-01,82949.0,125481.0,90809.0
2005-04-01,152636.0,189148.0,178814.0
2008-07-01,155979.0,227675.0,151193.0
2019-04-01,274576.0,296367.0,209358.0
2020-04-01,294250.0,288323.0,219742.0
2020-07-01,303113.0,294693.0,226954.0
2014-07-01,187931.0,223100.0,164454.0
2022-10-01,383105.0,349441.0,296041.0
2002-01-01,110373.0,142782.0,120438.0
2006-01-01,168130.0,209964.0,193675.0
2013-01-01,168027.0,189836.0,148477.0
2011-04-01,144753.0,174549.0,133989.0
2013-07-01,174888.0,213302.0,156151.0
2005-01-01,146152.0,185869.0,172007.0
1996-04-01,67070.0,92746.0,81529.0
2013-10-01,180019.0,212120.0,159188.0
2003-01-01,120088.0,155053.0,131924.0
2007-10-01,168339.0,248854.0,172488.0
2019-01-01,268097.0,283770.0,207330.0
2021-10-01,383658.0,352899.0,276346.0
2023-07-01,341673.0,344868.0,308833.0
1990-04-01,60480.0,107456.0,76046.0
1994-04-01,61500.0,88371.0,77670.0
1997-04-01,72949.0,105294.0,84013.0
1999-01-01,82649.0,123760.0,93957.0
2012-01-01,151753.0,182729.0,135457.0
2022-04-01,417264.0,344363.0,297502.0
2016-07-01,228388.0,255995.0,182673.0
2001-01-01,102811.0,144346.0,112214.0
1999-10-01,95079.0,131584.0,99802.0
2001-04-01,104693.0,144887.0,114187.0
2017-07-01,242237.0,266368.0,193605.0
2023-10-01,340731.0,323128.0,312406.0
2001-10-01,107240.0,138553.0,118282.0
2012-07-01,160912.0,185117.0,141748.0
2010-10-01,141228.0,171723.0,135491.0
2020-01-01,288557.0,295707.0,218032.0
2018-01-01,252227.0,273294.0,199751.0
1996-10-01,68888.0,97407.0,82500.0
2002-10-01,116359.0,149519.0,129314.0
2022-01-01,400398.0,345440.0,289097.0
2000-10-01,100789.0,145375.0,109590.0
1999-07-01,92386.0,129312.0,97697.0
2008-04-01,160469.0,233209.0,158227.0
2020-10-01,308954.0,304218.0,235465.0
2014-10-01,197181.0,229869.0,166971.0
2018-04-01,256664.0,274302.0,202030.0
2015-01-01,201877.0,240408.0,169069.0
2021-04-01,338775.0,316177.0,254460.0
1996-01-01,67930.0,92508.0,80955.0
1998-10-01,83543.0,127775.0,92533.0
2007-04-01,173791.0,246226.0,183347.0
2016-10-01,230677.0,257163.0,185530.0
2003-04-01,122522.0,153152.0,134771.0
2004-07-01,137874.0,179571.0,159202.0
2011-10-01,153714.0,182740.0,134308.0
1991-04-01,59660.0,104565.0,75470.0
2014-01-01,178316.0,208554.0,161234.0
2017-04-01,236570.0,271758.0,190689.0
2004-10-01,142186.0,179473.0,165209.0
1986-10-01,54290.0,98651.0,58295.0
1991-10-01,58780.0,97629.0,75021.0
