"Label (Grouping)","Median value (dollars)"
"Alabama",""
"    Estimate","200,900"
"Alaska",""
"    Estimate","336,900"
"Arizona",""
"    Estimate","402,800"
"Arkansas",""
"    Estimate","179,800"
"California",""
"    Estimate","715,900"
"Colorado",""
"    Estimate","531,100"
"Connecticut",""
"    Estimate","347,200"
"Delaware",""
"    Estimate","337,200"
"District of Columbia",""
"    Estimate","711,100"
"Florida",""
"    Estimate","354,100"
"Georgia",""
"    Estimate","297,400"
"Hawaii",""
"    Estimate","820,100"
"Idaho",""
"    Estimate","432,500"
"Illinois",""
"    Estimate","251,600"
"Indiana",""
"    Estimate","208,700"
"Iowa",""
"    Estimate","194,600"
"Kansas",""
"    Estimate","206,600"
"Kentucky",""
"    Estimate","196,300"
"Louisiana",""
"    Estimate","209,200"
"Maine",""
"    Estimate","290,600"
"Maryland",""
"    Estimate","398,100"
"Massachusetts",""
"    Estimate","534,700"
"Michigan",""
"    Estimate","224,400"
"Minnesota",""
"    Estimate","314,600"
"Mississippi",""
"    Estimate","162,500"
"Missouri",""
"    Estimate","221,200"
"Montana",""
"    Estimate","366,400"
"Nebraska",""
"    Estimate","232,400"
"Nevada",""
"    Estimate","434,700"
"New Hampshire",""
"    Estimate","384,700"
"New Jersey",""
"    Estimate","428,900"
"New Mexico",""
"    Estimate","243,100"
"New York",""
"    Estimate","400,400"
"North Carolina",""
"    Estimate","280,600"
"North Dakota",""
"    Estimate","243,100"
"Ohio",""
"    Estimate","204,100"
"Oklahoma",""
"    Estimate","191,700"
"Oregon",""
"    Estimate","475,600"
"Pennsylvania",""
"    Estimate","245,500"
"Rhode Island",""
"    Estimate","383,900"
"South Carolina",""
"    Estimate","254,600"
"South Dakota",""
"    Estimate","245,000"
"Tennessee",""
"    Estimate","284,800"
"Texas",""
"    Estimate","275,400"
"Utah",""
"    Estimate","499,500"
"Vermont",""
"    Estimate","304,700"
"Virginia",""
"    Estimate","365,700"
"Washington",""
"    Estimate","569,500"
"West Virginia",""
"    Estimate","155,100"
"Wisconsin",""
"    Estimate","252,800"
"Wyoming",""
"    Estimate","292,300"
"Puerto Rico",""
"    Estimate","122,200"