"Label (Grouping)","Total:","Total:!!Less than $50,000","Total:!!$50,000 to $99,999","Total:!!$100,000 to $149,999","Total:!!$150,000 to $199,999","Total:!!$200,000 to $299,999","Total:!!$300,000 to $499,999","Total:!!$500,000 to $999,999","Total:!!$1,000,000 or more"
"Alabama","","","","","","","","",""
"    Estimate","1,416,333","147,494","186,145","179,651","192,181","298,254","278,735","115,476","18,397"
"Alaska","","","","","","","","",""
"    Estimate","181,586","10,015","6,103","7,964","11,081","38,637","75,646","29,463","2,677"
"Arizona","","","","","","","","",""
"    Estimate","1,921,746","115,424","67,678","57,890","80,092","265,323","692,276","541,367","101,696"
"Arkansas","","","","","","","","",""
"    Estimate","808,558","82,513","123,326","109,924","129,888","175,545","129,125","47,983","10,254"
"California","","","","","","","","",""
"    Estimate","7,565,502","193,507","136,690","103,683","110,071","331,993","1,297,381","3,253,409","2,138,768"
"Colorado","","","","","","","","",""
"    Estimate","1,584,309","49,320","33,337","22,705","36,085","115,397","475,693","684,651","167,121"
"Connecticut","","","","","","","","",""
"    Estimate","949,839","24,707","15,660","35,444","74,994","226,313","332,554","182,537","57,630"
"Delaware","","","","","","","","",""
"    Estimate","298,075","15,560","8,229","9,604","21,306","68,996","114,654","51,791","7,935"
"District of Columbia","","","","","","","","",""
"    Estimate","134,120","1,403","534","1,027","1,766","6,625","26,336","59,670","36,759"
"Florida","","","","","","","","",""
"    Estimate","5,929,801","303,782","272,636","272,661","407,732","1,054,549","2,047,710","1,226,674","344,057"
"Georgia","","","","","","","","",""
"    Estimate","2,695,885","163,181","183,535","180,555","264,069","572,086","815,357","441,440","75,662"
"Hawaii","","","","","","","","",""
"    Estimate","309,687","6,078","4,963","4,092","3,134","10,998","44,885","129,992","105,545"
"Idaho","","","","","","","","",""
"    Estimate","518,837","23,676","13,280","13,866","21,227","61,904","189,351","163,955","31,578"
"Illinois","","","","","","","","",""
"    Estimate","3,392,312","188,060","309,443","363,553","424,317","785,800","870,501","374,017","76,621"
"Indiana","","","","","","","","",""
"    Estimate","1,929,865","120,076","217,661","257,866","322,482","476,142","389,736","125,682","20,220"
"Iowa","","","","","","","","",""
"    Estimate","958,700","65,582","119,801","144,438","163,916","210,800","185,507","58,641","10,015"
"Kansas","","","","","","","","",""
"    Estimate","795,989","73,404","107,423","97,100","107,807","166,002","168,163","65,828","10,262"
"Kentucky","","","","","","","","",""
"    Estimate","1,257,737","123,171","152,843","165,175","200,349","284,893","237,496","80,311","13,499"
"Louisiana","","","","","","","","",""
"    Estimate","1,229,012","124,906","134,722","133,413","190,535","308,780","239,403","80,373","16,880"
"Maine","","","","","","","","",""
"    Estimate","448,772","25,734","30,640","39,220","44,704","92,734","130,270","73,785","11,685"
"Maryland","","","","","","","","",""
"    Estimate","1,609,588","52,892","35,383","51,658","86,313","258,041","589,053","453,752","82,496"
"Massachusetts","","","","","","","","",""
"    Estimate","1,741,555","36,919","20,170","23,350","38,627","167,533","516,760","730,833","207,363"
"Michigan","","","","","","","","",""
"    Estimate","2,991,685","227,026","296,660","346,684","439,846","707,440","676,749","257,323","39,957"
"Minnesota","","","","","","","","",""
"    Estimate","1,674,434","66,285","68,528","95,015","151,071","401,963","591,251","262,285","38,036"
"Mississippi","","","","","","","","",""
"    Estimate","803,006","105,447","149,953","110,278","119,013","157,984","117,230","35,128","7,973"
"Missouri","","","","","","","","",""
"    Estimate","1,704,800","124,289","166,474","210,748","260,017","408,925","367,610","141,972","24,765"
"Montana","","","","","","","","",""
"    Estimate","319,421","18,131","15,795","16,067","20,600","53,011","95,010","78,048","22,759"
"Nebraska","","","","","","","","",""
"    Estimate","529,723","31,547","47,922","57,590","75,971","143,234","129,321","38,238","5,900"
"Nevada","","","","","","","","",""
"    Estimate","722,684","30,000","12,654","13,031","17,512","80,465","312,537","218,239","38,246"
"New Hampshire","","","","","","","","",""
"    Estimate","402,656","13,411","10,915","13,487","20,931","68,122","157,650","102,667","15,473"
"New Jersey","","","","","","","","",""
"    Estimate","2,272,995","60,716","46,181","59,941","108,391","325,657","798,079","735,717","138,313"
"New Mexico","","","","","","","","",""
"    Estimate","601,666","55,580","53,940","46,702","75,259","146,193","152,450","58,723","12,819"
"New York","","","","","","","","",""
"    Estimate","4,204,337","175,187","261,393","298,889","359,988","558,725","842,404","1,252,156","455,595"
"North Carolina","","","","","","","","",""
"    Estimate","2,868,467","169,415","211,978","253,433","309,402","603,528","777,484","457,479","85,748"
"North Dakota","","","","","","","","",""
"    Estimate","215,896","18,047","19,426","20,944","23,663","56,361","57,013","17,986","2,456"
"Ohio","","","","","","","","",""
"    Estimate","3,285,052","218,274","366,981","489,634","533,457","749,115","666,387","229,911","31,293"
"Oklahoma","","","","","","","","",""
"    Estimate","1,029,003","93,137","135,458","147,610","160,407","237,842","177,044","66,053","11,452"
"Oregon","","","","","","","","",""
"    Estimate","1,084,786","42,345","24,966","19,949","26,427","97,005","382,820","424,153","67,121"
"Pennsylvania","","","","","","","","",""
"    Estimate","3,658,207","214,508","334,045","374,629","495,481","850,338","888,458","434,784","65,964"
"Rhode Island","","","","","","","","",""
"    Estimate","282,617","8,110","1,881","3,888","8,595","48,789","132,669","67,626","11,059"
"South Carolina","","","","","","","","",""
"    Estimate","1,538,550","129,814","134,769","131,900","185,172","334,203","381,178","189,664","51,850"
"South Dakota","","","","","","","","",""
"    Estimate","256,326","22,281","21,124","21,807","32,301","63,733","62,801","27,822","4,457"
"Tennessee","","","","","","","","",""
"    Estimate","1,914,030","102,283","147,767","158,431","199,826","408,389","532,405","298,546","66,383"
"Texas","","","","","","","","",""
"    Estimate","6,926,616","444,157","538,133","556,831","755,842","1,540,739","1,816,337","1,027,197","247,380"
"Utah","","","","","","","","",""
"    Estimate","804,164","22,312","14,893","9,637","12,608","58,523","284,897","340,866","60,428"
"Vermont","","","","","","","","",""
"    Estimate","204,089","9,211","8,546","11,663","22,267","48,527","63,707","35,242","4,926"
"Virginia","","","","","","","","",""
"    Estimate","2,278,062","93,020","92,077","116,015","170,580","414,782","658,942","589,179","143,467"
"Washington","","","","","","","","",""
"    Estimate","1,976,259","57,769","43,116","33,604","41,868","141,423","519,103","821,331","318,045"
"West Virginia","","","","","","","","",""
"    Estimate","548,389","77,768","101,241","84,284","86,792","104,454","67,891","22,653","3,306"
"Wisconsin","","","","","","","","",""
"    Estimate","1,696,493","70,141","100,865","181,878","256,702","432,287","458,213","172,554","23,853"
"Wyoming","","","","","","","","",""
"    Estimate","176,863","14,074","7,085","10,833","15,348","44,339","52,632","23,261","9,291"
"Puerto Rico","","","","","","","","",""
"    Estimate","869,635","65,323","247,568","240,751","158,203","94,065","40,173","14,867","8,685"